function	start_line	end_line	legacy_callers	modern_callers	test_files	sql_query_calls	escape_discard_count
csrf_token_generate	14	33	7	1	none	0	0
password_verify_legacy	34	47	5	0	Integration/PasswordLegacyMigrationTest.php;Unit/SecurityAndCryptoTest.php	0	0
password_needs_legacy_upgrade	48	58	3	0	Integration/PasswordLegacyMigrationTest.php;Unit/SecurityAndCryptoTest.php	0	0
upgrade_legacy_password_hash	59	72	3	0	Integration/PasswordLegacyMigrationTest.php	0	0
version_check	73	92	1	0	bootstrap.php	0	0
search_array	93	103	0	0	Unit/StringUtilitiesTest.php	0	0
in_string	104	108	0	0	Unit/StringUtilitiesTest.php	0	0
designations	109	118	5	0	Unit/HtmlGeneratorsTest.php	0	0
build_action_link	119	166	11	0	Approval/LinkBuilderApprovalTest.php;Unit/UrlAndNavigationTest.php	0	0
build_output_link	167	184	0	0	Approval/LinkBuilderApprovalTest.php;Unit/UrlAndNavigationTest.php	0	0
build_form_action	185	200	7	0	Approval/LinkBuilderApprovalTest.php;Unit/UrlAndNavigationTest.php	0	0
build_public_url	201	228	120	0	Approval/LinkBuilderApprovalTest.php;Unit/UrlAndNavigationTest.php	0	0
display_array_content	229	243	17	0	Unit/StringUtilitiesTest.php	0	0
addOrdinalNumberSuffix	244	258	79	0	Unit/OrdinalAndNumberFunctionsTest.php	0	0
purge_entries	259	410	5	0	none	5	0
random_generator	411	428	40	0	Unit/SecurityAndCryptoTest.php	0	0
relocate	429	467	69	0	Unit/StringUtilitiesTest.php	0	0
check_judging_numbers	468	482	0	0	none	1	0
temp_convert	483	494	0	0	Unit/ConversionFunctionsTest.php	0	0
weight_convert	495	516	0	0	Unit/ConversionFunctionsTest.php	0	0
volume_convert	517	539	0	0	Unit/ConversionFunctionsTest.php	0	0
GetSQLValueString	540	569	16	0	Unit/HtmlGeneratorsTest.php	0	0
currency_info	570	812	3	0	Unit/SecurityAndCryptoTest.php	0	0
total_fees	813	994	6	0	Integration/TotalFeesTest.php	8	0
total_fees_paid	995	1298	6	0	none	11	0
total_entries_brewer	1299	1310	0	0	none	1	0
total_not_paid_brewer	1311	1328	6	0	none	2	0
total_paid_received	1329	1345	5	0	Integration/BestBrewerPointsTest.php	1	0
total_paid	1346	1356	0	0	none	1	0
total_nopay_received	1357	1368	1	0	none	1	0
style_convert	1369	1817	53	0	Approval/StyleConvertApprovalTest.php	7	0
get_table_info	1818	2123	49	0	Integration/GetTableInfoTest.php	14	0
style_type	2124	2170	9	0	Approval/StyleTypeApprovalTest.php	2	0
check_bos_loc	2171	2181	0	0	none	1	0
table_location	2182	2213	15	0	none	2	0
score_count	2214	2237	5	0	none	1	0
best_brewer_points	2238	2346	12	0	Integration/BestBrewerPointsTest.php	0	0
bjcp_rank	2347	2432	7	0	Unit/OrdinalAndNumberFunctionsTest.php	0	0
srm_color	2433	2470	6	0	Approval/SrmColorApprovalTest.php;Unit/OrdinalAndNumberFunctionsTest.php	0	0
get_contact_count	2471	2480	2	0	none	1	0
brewer_info	2481	2529	39	0	Integration/BrewerInfoTest.php	2	0
get_entry_count	2530	2560	23	0	none	1	0
get_evaluation_count	2561	2584	6	0	none	1	0
get_participant_count	2585	2640	41	0	none	1	0
display_place	2641	2696	52	0	Integration/DisplayPlaceTest.php;Unit/OrdinalAndNumberFunctionsTest.php	0	0
entry_info	2697	2706	12	0	Approval/EntryInfoApprovalTest.php	1	0
get_suffix	2707	2712	18	0	none	0	0
score_check	2713	2725	3	0	none	1	0
minibos_check	2726	2736	6	0	none	1	0
winner_check	2737	2822	3	0	none	5	0
brewer_assignment	2823	2880	9	0	none	1	0
entries_unconfirmed	2881	2899	4	0	none	1	0
check_special_ingredients	2900	2932	9	0	none	1	0
entries_no_special	2933	2957	2	0	none	1	0
data_integrity_check	2958	3128	3	0	none	9	0
readable_number	3129	3173	3	0	Unit/OrdinalAndNumberFunctionsTest.php	0	0
winner_method	3174	3199	0	0	none	0	0
table_exists	3200	3210	26	0	none	1	0
judge_assignment	3211	3223	1	0	none	1	0
table_assignments	3224	3331	17	0	none	1	0
available_at_location	3332	3360	0	0	none	1	0
str_osplit	3361	3364	2	0	Unit/UrlAndNavigationTest.php	0	0
readable_judging_number	3365	3381	6	0	none	0	0
dropoff_location	3382	3393	2	0	none	1	0
judge_steward_availability	3394	3460	3	0	none	1	0
judge_entries	3461	3489	10	0	none	1	0
judging_winner_display	3490	3494	7	0	none	0	0
format_phone_us	3495	3549	23	0	none	0	0
check_judging_flights	3550	3574	0	0	none	3	0
get_archive_count	3575	3583	11	0	none	1	0
number_pad	3584	3587	3	0	Unit/OrdinalAndNumberFunctionsTest.php	0	0
open_or_closed	3588	3608	6	3	Unit/Domain/Registration/Service/RegistrationServiceTest.php;Unit/OrdinalAndNumberFunctionsTest.php	0	0
limit_subcategory	3609	3679	5	3	none	3	0
highlight_required	3680	3754	0	0	none	4	0
user_check	3755	3772	0	0	none	1	0
judging_location_info	3773	3800	6	1	none	1	0
yes_no	3801	3836	56	0	none	0	0
styles_active	3837	3929	12	0	none	4	0
check_exension	3930	3946	0	0	Unit/StringUtilitiesTest.php	0	0
open_limit	3947	3962	2	0	Unit/OrdinalAndNumberFunctionsTest.php	0	0
obfuscateURL	3963	4016	17	0	Unit/SecurityAndCryptoTest.php	0	0
deobfuscateURL	4017	4054	2	0	Unit/SecurityAndCryptoTest.php	0	0
get_ba_style_info	4055	4081	0	0	none	0	0
convert_to_ba	4082	4150	0	0	none	4	2
convert_to_pro	4151	4197	0	0	none	3	1
remove_sensitive_data	4198	4355	0	0	none	5	2
verify_token	4356	4388	2	0	Integration/VerifyTokenTest.php;Unit/SecurityAndCryptoTest.php	1	0
tiebreak_rule	4389	4493	43	0	none	0	0
is_dir_empty	4494	4501	4	0	none	0	0
pro_am_check	4502	4514	1	0	none	1	0
is_html	4515	4518	27	0	Unit/StringUtilitiesTest.php	0	0
style_number_const	4519	4545	52	1	Unit/HtmlGeneratorsTest.php	0	0
user_flight_assignment	4546	4559	2	0	none	1	0
entry_flight_assignment	4560	4570	2	0	none	1	0
flight_count_info	4571	4623	4	0	none	3	0
user_submitted_eval	4624	4639	2	0	none	1	0
eval_exits	4640	4684	10	0	none	1	0
remove_accents	4685	5216	5	0	Unit/StringUtilitiesTest.php	0	0
truncate_string	5217	5231	18	0	Unit/StringUtilitiesTest.php	0	0
place_heirarchy	5232	5250	8	0	Unit/OrdinalAndNumberFunctionsTest.php	0	0
normalizeClubs	5251	5257	6	0	Unit/StringUtilitiesTest.php	0	0
clean_up_text	5258	5264	0	0	Unit/StringUtilitiesTest.php	0	0
prep_redirect_link	5265	5274	173	0	Unit/UrlAndNavigationTest.php;bootstrap.php	0	0
display_array_content_style	5275	5304	0	0	none	0	0
admin_relocate	5305	5313	1	0	Unit/StringUtilitiesTest.php	0	0
scrub_filename	5314	5319	1	0	Unit/StringUtilitiesTest.php	0	0
clean_filename	5320	5366	1	0	Unit/StringUtilitiesTest.php	0	0
create_bs_alert	5367	5394	8	0	Unit/HtmlGeneratorsTest.php	0	0
create_bs_popover	5395	5420	0	0	Unit/HtmlGeneratorsTest.php	0	0
simpleEncrypt	5421	5454	5	0	Unit/SecurityAndCryptoTest.php	0	0
